2022-05-25 22:28:09,359 efficientvit_b1 INFO: Start validation, Total sample: 500
2022-05-25 22:28:15,218 efficientvit_b1 INFO: Sample: 55, validation pixAcc: 90.514, mIoU: 56.559
2022-05-25 22:28:15,292 efficientvit_b1 INFO: Sample: 56, validation pixAcc: 90.531, mIoU: 56.740
2022-05-25 22:28:15,366 efficientvit_b1 INFO: Sample: 57, validation pixAcc: 90.516, mIoU: 56.779
2022-05-25 22:28:15,459 efficientvit_b1 INFO: Sample: 58, validation pixAcc: 90.563, mIoU: 56.304
2022-05-25 22:28:15,534 efficientvit_b1 INFO: Sample: 59, validation pixAcc: 90.606, mIoU: 56.399
2022-05-25 22:28:15,599 efficientvit_b1 INFO: Sample: 60, validation pixAcc: 90.695, mIoU: 56.395
2022-05-25 22:28:15,669 efficientvit_b1 INFO: Sample: 61, validation pixAcc: 90.721, mIoU: 56.404
2022-05-25 22:28:15,748 efficientvit_b1 INFO: Sample: 62, validation pixAcc: 90.695, mIoU: 56.264
2022-05-25 22:28:15,818 efficientvit_b1 INFO: Sample: 63, validation pixAcc: 90.760, mIoU: 56.248
2022-05-25 22:28:15,894 efficientvit_b1 INFO: Sample: 64, validation pixAcc: 90.797, mIoU: 56.244
2022-05-25 22:28:15,970 efficientvit_b1 INFO: Sample: 65, validation pixAcc: 90.835, mIoU: 55.988
2022-05-25 22:28:16,052 efficientvit_b1 INFO: Sample: 66, validation pixAcc: 90.917, mIoU: 56.235
2022-05-25 22:28:16,120 efficientvit_b1 INFO: Sample: 67, validation pixAcc: 90.894, mIoU: 56.228
2022-05-25 22:28:16,186 efficientvit_b1 INFO: Sample: 68, validation pixAcc: 90.893, mIoU: 56.339
2022-05-25 22:28:16,262 efficientvit_b1 INFO: Sample: 69, validation pixAcc: 90.929, mIoU: 56.277
2022-05-25 22:28:16,328 efficientvit_b1 INFO: Sample: 70, validation pixAcc: 90.929, mIoU: 56.250
2022-05-25 22:28:16,426 efficientvit_b1 INFO: Sample: 71, validation pixAcc: 90.919, mIoU: 56.254
2022-05-25 22:28:16,485 efficientvit_b1 INFO: Sample: 72, validation pixAcc: 90.952, mIoU: 56.513
2022-05-25 22:28:16,547 efficientvit_b1 INFO: Sample: 73, validation pixAcc: 90.911, mIoU: 56.629
